Freq [GHz],"dB(S(1,1))_1 [] - $eps1='1' $eps2='0'","dB(S(1,1))_1 [] - $eps1='2' $eps2='0.1'","dB(S(1,1))_1 [] - $eps1='3' $eps2='0.2'","dB(S(1,1))_1 [] - $eps1='4' $eps2='0.3'","dB(S(1,1))_1 [] - $eps1='5' $eps2='0.6'","dB(S(1,1))_1 [] - $eps1='6' $eps2='0.9'","dB(S(1,1))_1 [] - $eps1='7' $eps2='1.1'","dB(S(1,1))_1 [] - $eps1='8' $eps2='1.4'","arg(S(1,1)) [deg] - $eps1='1' $eps2='0'","arg(S(1,1)) [deg] - $eps1='2' $eps2='0.1'","arg(S(1,1)) [deg] - $eps1='3' $eps2='0.2'","arg(S(1,1)) [deg] - $eps1='4' $eps2='0.3'","arg(S(1,1)) [deg] - $eps1='5' $eps2='0.6'","arg(S(1,1)) [deg] - $eps1='6' $eps2='0.9'","arg(S(1,1)) [deg] - $eps1='7' $eps2='1.1'","arg(S(1,1)) [deg] - $eps1='8' $eps2='1.4'"
0.996673189823875,-2.55784488153021,-2.92322442187489,-2.9761191536373,-3.11493943041404,-3.19902016158796,-3.28133771799022,-3.25641467451513,-3.30577918667981,113.644904126715,107.201504628936,103.708935503101,102.031403977981,100.285204910009,99.0455028426796,98.5053204043991,97.1250608203267
1.00234833659491,-2.58088289868591,-2.96733935694687,-3.02579577340153,-3.16211144916394,-3.2539326211354,-3.34077171835217,-3.3164012187691,-3.36893356712851,111.729202491462,105.346791346265,101.729981403698,100.136973093201,98.3377449299616,97.0852700150293,96.5445095944141,95.1393091645102
1.00802348336595,-2.60531816214803,-3.00873139045189,-3.07998177893579,-3.20838638161067,-3.31144137877925,-3.40285296720476,-3.37902531032574,-3.43468590668034,109.798004894504,103.481260330646,99.7483611512383,98.2141049292797,96.371907735798,95.1084435383223,94.5664885445263,93.1355481010427
1.01369863013699,-2.63118094840182,-3.04733154557956,-3.13806211787096,-3.25497263791885,-3.37167662277535,-3.46760141886682,-3.44434705391235,-3.50314185334576,107.850703902747,101.594229919062,97.7696715382405,96.2551867961274,94.3879810839981,93.1149730203437,92.5712425761986,91.1134584120937
1.01937377690802,-2.65850115390154,-3.08361962364264,-3.19900996229708,-3.30333507363326,-3.4347288894575,-3.53503021997905,-3.51241100322031,-3.57440185382578,105.886728934705,99.6754238378882,95.7985481063563,94.2570777062544,92.3864000984003,91.1046805116568,90.5587063086999,89.0728380930143
1.02504892367906,-2.68730772218939,-3.11855130567434,-3.26138101258658,-3.35486058289015,-3.50064771703966,-3.60515580890767,-3.5832535952911,-3.64855658658683,103.905543503567,97.7163320844219,93.8370471310289,92.2206705351135,90.3676492190751,89.0772709425671,88.5287364781567,87.0135684234556
1.0307240704501,-2.71762816944553,-3.15340737456523,-3.32348741308731,-3.41066995711716,-3.56944368702483,-3.67800514370306,-3.65691059345878,-3.72568530199345,101.906642408257,95.7111709073781,91.8827643453911,90.1497234016015,88.3321848271284,87.0323695042929,86.4811112145654,84.9355763100584
1.03639921722113,-2.74948801318061,-3.18961059671425,-3.38379081753893,-3.47156067802322,-3.64109117770554,-3.75361891466475,-3.73342291027165,-3.80585663734861,99.8895456401388,93.6572813052888,89.9277000807639,88.0497319589427,86.2803706041762,84.9695714300259,84.415549758747,82.8388010392054
1.04207436399217,-2.78291162768357,-3.22855605354195,-3.44140402919865,-3.5380125046777,-3.71553178092892,-3.83205084080674,-3.81283991578858,-3.88913111936778,97.8538144090385,91.5550083889638,87.9590525632251,85.9272021636255,84.212407602221,82.8884898545616,82.3317440402054,80.7231705449296
1.04774951076321,-2.81791981410801,-3.27148359424508,-3.49644478360369,-3.61018954050766,-3.79268119371032,-3.91336407522965,-3.89522002784532,-3.97556448128284,95.7990135170805,89.4072406141871,85.9622140414511,83.7892834866861,82.1282521564749,80.7887915579399,80.2293929614561,78.5885893505031
1.05342465753425,-2.85453178527108,-3.31939892061411,-3.55002188169104,-3.68790289821374,-3.8724430223758,-3.99762603697592,-3.98062891662032,-4.06521097466025,93.7247469726931,87.2188185833922,83.9246857973264,81.6434765112536,80.0275359575972,78.6702153211842,78.1082314732209,76.4349377021045
1.05909980430528,-2.89276389759848,-3.37303308593939,-3.60387006867687,-3.77054040001132,-3.95473048681486,-4.08490305402436,-4.06913608675047,-4.15812603770691,91.6306394324031,84.995969516161,81.8389203884417,79.4970488453162,77.9095244797277,76.5325714502216,75.9680482709368,74.2620797786973
1.06477495107632,-2.9326295231668,-3.43282305005912,-3.65986361108466,-3.85701448312,-4.03949203638157,-4.1752560848454,-4.16081095583032,-4.25436794299184,89.5163401783331,82.7458359184869,79.7030024148222,77.3558975497053,75.7731510411197,74.3757246998008,73.8086890304646,72.0698773643114
1.07045009784736,-2.97413872875623,-3.49889722129815,-3.71964403304194,-3.94580936897697,-4.12673335367799,-4.26873863037675,-4.25571963343138,-4.3539983111316,87.3815230838016,80.4760850665558,77.5195613357613,75.222920712499,73.617138619117,72.1995656628192,71.6300458105901,69.8582052089562
1.0761252446184,-3.0172975736145,-3.57105663256898,-3.78445277567978,-4.03519342913637,-4.21652813830547,-4.36539754935981,-4.35392344543065,-4.45708170498361,85.2258883807093,78.1945293008284,75.294042259713,73.0964291336749,71.4401845722396,70.003979423758,69.4320375523184,67.6269647986166
1.08180039138943,-3.06210816107004,-3.6487521622728,-3.85512595707137,-4.12358562391446,-4.30901426489866,-4.46527675533008,-4.455479700497,-4.56368465567219,83.0491591818202,75.908662635415,73.0332523678213,70.9694427172107,69.2411561935148,67.7888223833616,67.2145897789476,65.3760946410635
1.08747553816047,-3.10856696527492,-3.73106899710794,-3.93215997322119,-4.20996198872666,-4.4043775095583,-4.56842281530043,-4.56044441283125,-4.67387447005692,80.8510837201119,73.6250304629673,70.7445384878899,68.8305113829048,67.0192446358183,65.553917516025,64.9776224365412,63.1055770152201
